acute_7,chronic_30_expected_7,chronic_90_expected_7,acwr_7_30,acwr_7_90,ramp_7_30,ramp_7_90,z_overshoot_7_30,z_overshoot_7_90,ma_7,ma_30,ma_90,week_end,week_load,injury_week,predicted_injury_probability
269.0,239.40000000000003,305.82758620689657,1.1236424394319129,0.8795805615063704,29.599999999999966,-36.82758620689657,0.19678886826978845,-0.22882591462193963,38.42857142857143,34.2,43.689655172413794,2024-07-21,201.0,0,0.26652856841769107
236.0,178.96666666666667,302.6333333333333,1.3186813186813187,0.7798215662517899,57.03333333333333,-66.63333333333333,0.4459515271101879,-0.415504310296088,33.714285714285715,25.566666666666666,43.233333333333334,2024-07-28,216.0,0,0.29131422059081363
22.0,184.1,283.1111111111111,0.11950027159152635,0.07770800627943486,-162.1,-261.1111111111111,-1.2736726366474043,-1.649774732661226,3.142857142857143,26.3,40.44444444444444,2024-08-04,386.0,0,0.4051364858671886
580.0,305.2,299.44444444444446,1.9003931847968545,1.9369202226345084,274.8,280.55555555555554,1.5916799134824555,1.6901788611165842,82.85714285714286,43.6,42.77777777777778,2024-08-11,55.0,0,0.1503667801663386
55.0,234.73333333333332,286.84444444444443,0.23430843510366375,0.19174155562441897,-179.73333333333332,-231.84444444444443,-1.157227606047962,-1.4108406808226277,7.857142857142857,33.53333333333333,40.977777777777774,2024-08-18,528.0,0,0.37180346305940626
350.0,234.9666666666667,274.7888888888889,1.4895729890764646,1.273705066515709,115.0333333333333,75.21111111111111,0.7725576052936797,0.482556057370175,50.0,33.56666666666667,39.25555555555555,2024-08-25,0.0,1,0.23607437029444625
178.0,271.3666666666667,260.94444444444446,0.6559390738238545,0.6821375345965509,-93.36666666666667,-82.94444444444446,-0.5684395980645758,-0.534245262268402,25.428571428571427,38.766666666666666,37.27777777777778,2024-09-01,345.0,0,0.3486915549939278
281.0,249.20000000000002,256.35555555555555,1.1276083467094702,1.0961338418862692,31.799999999999983,24.644444444444446,0.21043578523684883,0.16459872524376706,40.142857142857146,35.6,36.62222222222222,2024-09-08,333.0,0,0.2736248711777592
355.0,271.59999999999997,250.75555555555556,1.3070692194403537,1.4157213753987947,83.40000000000003,104.24444444444444,0.5912501612776374,0.7053536714958026,50.714285714285715,38.8,35.82222222222222,2024-09-15,392.0,0,0.20840144018643258
352.0,290.9666666666667,245.23333333333332,1.2097605682208727,1.4353676770422727,61.0333333333333,106.76666666666668,0.3874932127712294,0.7267617582790017,50.285714285714285,41.56666666666667,35.03333333333333,2024-09-22,253.0,0,0.21415958385148354
205.0,278.3666666666667,244.6111111111111,0.7364387498503173,0.8380649557120147,-73.36666666666667,-39.611111111111086,-0.5135203211880185,-0.27343854920845245,29.285714285714285,39.766666666666666,34.94444444444444,2024-09-29,82.0,0,0.3543446996947343
212.0,286.3,256.7444444444444,0.7404820118756549,0.8257238066386811,-74.30000000000001,-44.74444444444441,-0.5253246841251364,-0.3053945842417747,30.285714285714285,40.9,36.67777777777778,2024-10-06,301.0,0,0.3468623918784781
301.0,282.33333333333337,258.14444444444445,1.0661157024793386,1.166013859596264,18.66666666666663,42.855555555555554,0.13610313485428846,0.3059027118823315,43.0,40.333333333333336,36.87777777777778,2024-10-13,262.0,0,0.251830224012371
104.0,204.4,248.57777777777778,0.5088062622309197,0.41838011800464864,-100.4,-144.57777777777778,-0.9870827339396214,-1.037042765381792,14.857142857142858,29.2,35.51111111111111,2024-10-20,212.0,0,0.48781130911453047
370.0,247.56666666666666,261.7222222222222,1.4945469233876396,1.4137125875610277,122.43333333333334,108.27777777777783,1.0166389398852356,0.7635768365037604,52.857142857142854,35.36666666666667,37.388888888888886,2024-10-27,310.0,0,0.180808816402599
190.0,225.16666666666666,259.7,0.843819393042191,0.7316134000770119,-35.16666666666666,-69.69999999999999,-0.3080233456650959,-0.5150837545824248,27.142857142857142,32.166666666666664,37.1,2024-11-03,224.0,0,0.3668871228821116
344.0,273.7,256.43333333333334,1.256850566313482,1.341479266865982,70.30000000000001,87.56666666666666,0.5324593827919989,0.663795687991207,49.142857142857146,39.1,36.63333333333333,2024-11-10,244.0,0,0.20049127556298169
244.0,267.8666666666667,271.1333333333333,0.9109009457441513,0.8999262355544628,-23.866666666666674,-27.133333333333326,-0.17340540023766568,-0.20247785717219333,34.857142857142854,38.266666666666666,38.733333333333334,2024-11-17,30.0,0,0.3083549430908017
30.0,214.9,232.40000000000003,0.13959981386691483,0.1290877796901893,-184.9,-202.40000000000003,-1.5329754981590542,-1.5861093956476973,4.285714285714286,30.7,33.2,2024-11-24,68.0,0,0.6161167676481398
0.0,162.86666666666667,232.40000000000003,0.0,0.0,-162.86666666666667,-232.40000000000003,-1.3655947152829462,-1.8212046618010118,0.0,23.266666666666666,33.2,2024-12-01,0.0,1,0.5869573822068128
68.0,116.43333333333334,210.85555555555555,0.5840251932436301,0.32249565263213364,-48.43333333333334,-142.85555555555555,-0.45862677689747255,-1.1531503368616234,9.714285714285714,16.633333333333333,30.122222222222224,2024-12-08,328.0,0,0.5215338617741622
217.0,102.66666666666666,201.83333333333331,2.1136363636363638,1.0751445086705202,114.33333333333334,15.166666666666686,1.3714560654315395,0.12790019102667732,31.0,14.666666666666666,28.833333333333332,2024-12-15,126.0,0,0.3751450598809558
237.0,121.79999999999998,189.77777777777777,1.9458128078817736,1.2488290398126465,115.20000000000002,47.22222222222223,1.2290807107663053,0.4190742863968613,33.857142857142854,17.4,27.11111111111111,2024-12-22,37.0,0,0.30719652697374594
37.0,130.43333333333334,172.9777777777778,0.28366981855353945,0.21390030832476875,-93.43333333333334,-135.9777777777778,-0.996360437013122,-1.2551533312615961,5.285714285714286,18.633333333333333,24.711111111111112,2024-12-29,292.0,0,0.6564959570499556
292.0,182.70000000000002,189.3111111111111,1.5982484948002187,1.5424345580467191,109.29999999999998,102.6888888888889,0.884007886004969,0.8718663422775446,41.714285714285715,26.1,27.044444444444444,2025-01-05,195.0,0,0.20647811197280272
195.0,191.79999999999998,181.06666666666666,1.0166840458811262,1.0769513991163475,3.200000000000017,13.933333333333337,0.02384886994386292,0.1166460186021305,27.857142857142858,27.4,25.866666666666667,2025-01-12,298.0,0,0.33808201724320247
174.0,162.86666666666667,174.22222222222223,1.0683585755218992,0.9987244897959183,11.133333333333326,-0.22222222222222854,0.09078283691618586,-0.0019411931317058792,24.857142857142858,23.266666666666666,24.88888888888889,2025-01-19,98.0,0,0.37265729827431404
222.0,206.03333333333333,175.0,1.0774955508817343,1.2685714285714285,15.966666666666669,47.0,0.12144491109275479,0.40610806812249134,31.714285714285715,29.433333333333334,25.0,2025-01-26,185.0,0,0.28180800402193007
106.0,185.03333333333333,159.13333333333333,0.572869753197622,0.6661080854629242,-79.03333333333333,-53.133333333333326,-0.7192399788535025,-0.47660688846332944,15.142857142857142,26.433333333333334,22.733333333333334,2025-02-02,371.0,0,0.5211460180837122
385.0,206.96666666666667,171.65555555555557,1.8602029312288613,2.2428636157680106,178.03333333333333,213.34444444444443,1.5046904500921408,1.8590648060784882,55.0,29.566666666666666,24.522222222222222,2025-02-09,57.0,0,0.07567584788174361
122.0,194.83333333333331,162.16666666666669,0.6261762189905903,0.7523124357656731,-72.83333333333331,-40.166666666666686,-0.6234499915012812,-0.3621488858156753,17.428571428571427,27.833333333333332,23.166666666666668,2025-02-16,0.0,1,0.48243785458198896
0.0,157.03333333333333,159.83333333333331,0.0,0.0,-157.03333333333333,-159.83333333333331,-1.460966329029577,-1.4388758422297965,0.0,22.433333333333334,22.833333333333332,2025-02-23,45.0,0,0.7316700950013729
45.0,128.79999999999998,158.04444444444445,0.34937888198757766,0.28473003374578176,-83.79999999999998,-113.04444444444445,-0.8083343940525857,-1.0260138135999934,6.428571428571429,18.4,22.57777777777778,2025-03-02,27.0,0,0.621923341843635
27.0,80.03333333333333,160.14444444444445,0.3373594335693461,0.16859779365850275,-53.03333333333333,-133.14444444444445,-0.7077218774226437,-1.210400899542606,3.857142857142857,11.433333333333334,22.877777777777776,2025-03-09,41.0,0,0.6442259249244918
41.0,26.366666666666667,137.82222222222222,1.554993678887484,0.2974846823605289,14.633333333333333,-96.82222222222222,0.5418655335308732,-0.9183625421514798,5.857142857142857,3.7666666666666666,19.68888888888889,2025-03-16,115.0,0,0.724055294676267
115.0,53.199999999999996,136.96666666666667,2.161654135338346,0.8396203455828669,61.800000000000004,-21.96666666666667,1.3533237078172884,-0.2137777684780215,16.428571428571427,7.6,19.566666666666666,2025-03-23,63.0,0,0.5447607589274334
55.0,61.60000000000001,138.36666666666667,0.8928571428571427,0.3974945796193688,-6.6000000000000085,-83.36666666666667,-0.13941440124274626,-0.8127718140725325,7.857142857142857,8.8,19.766666666666666,2025-03-30,94.0,0,0.6444583214452132
102.0,79.33333333333334,123.58888888888889,1.2857142857142856,0.8253169109053313,22.666666666666657,-21.58888888888889,0.42611265160056955,-0.23873571933185536,14.571428571428571,11.333333333333334,17.655555555555555,2025-04-06,85.0,0,0.4991471010875402
34.0,71.39999999999999,111.06666666666666,0.4761904761904763,0.30612244897959184,-37.39999999999999,-77.06666666666666,-0.7192784683235227,-0.9326778921362916,4.857142857142857,10.2,15.866666666666667,2025-04-13,78.0,0,0.7325018499401408
87.0,75.36666666666667,94.65555555555555,1.1543564794338788,0.9191219626716751,11.633333333333326,-7.6555555555555515,0.23868572425675738,-0.1034601206001068,12.428571428571429,10.766666666666667,13.522222222222222,2025-04-20,144.0,0,0.48907842011562197
114.0,86.56666666666666,95.89999999999999,1.3169041201386216,1.18873826903024,27.433333333333337,18.10000000000001,0.5377240092986992,0.24631741296208612,16.285714285714285,12.366666666666667,13.7,2025-04-27,100.0,0,0.34674862651130206
172.0,108.03333333333333,94.88888888888889,1.592101203332305,1.8126463700234192,63.96666666666667,77.11111111111111,1.0282325234664473,1.0581313479332561,24.571428571428573,15.433333333333334,13.555555555555555,2025-05-04,109.0,0,0.12514556044183817
67.0,110.60000000000001,71.24444444444444,0.6057866184448463,0.9404242046163445,-43.60000000000001,-4.24444444444444,-0.6797762614409717,-0.08081496682164035,9.571428571428571,15.8,10.177777777777777,2025-05-11,56.0,0,0.5264816654083484
42.0,100.56666666666666,70.07777777777778,0.41763341067285387,0.5993340732519422,-58.56666666666666,-28.077777777777783,-0.932356273089199,-0.543850347141907,6.0,14.366666666666667,10.011111111111111,2025-05-18,182.0,0,0.7067578176710874
238.0,127.39999999999999,88.58888888888889,1.8681318681318682,2.6865671641791047,110.60000000000001,149.4111111111111,1.2974829492269107,2.357230570002112,34.0,18.2,12.655555555555555,2025-05-25,222.0,0,0.021080194588694125
222.0,147.23333333333335,102.35555555555555,1.5078107312655646,2.1689101172383847,74.76666666666665,119.64444444444445,0.763261269835932,1.6662051399354088,31.714285714285715,21.033333333333335,14.622222222222222,2025-06-01,72.0,0,0.06578925040559475
72.0,133.93333333333334,105.85555555555555,0.5375808860129417,0.6801721423323187,-61.93333333333334,-33.855555555555554,-0.6391990290326888,-0.4606603626645907,10.285714285714286,19.133333333333333,15.122222222222222,2025-06-08,135.0,0,0.5893411933167456
135.0,155.63333333333333,113.16666666666667,0.8674234311415722,1.1929307805596465,-20.633333333333326,21.83333333333333,-0.20395750401039475,0.28780872309373884,19.285714285714285,22.233333333333334,16.166666666666668,2025-06-15,157.0,0,0.3377240769041147
99.0,135.56666666666666,111.92222222222222,0.7302680108187853,0.8845428372877991,-36.56666666666666,-12.922222222222217,-0.4214661593697121,-0.17202574829556236,14.142857142857142,19.366666666666667,15.988888888888889,2025-06-22,0.0,1,0.49367380757722334
58.0,99.39999999999999,111.53333333333333,0.5835010060362174,0.5200239091452481,-41.39999999999999,-53.53333333333333,-0.5893304577151628,-0.7035821955654897,8.285714285714286,14.2,15.933333333333334,2025-06-29,0.0,1,0.6637591345731142
0.0,68.13333333333333,104.22222222222223,0.0,0.0,-68.13333333333333,-104.22222222222223,-1.1467757649202466,-1.3857112750329508,0.0,9.733333333333333,14.88888888888889,2025-07-06,76.0,0,0.8187776947826152
76.0,70.46666666666667,103.52222222222223,1.0785241248817408,0.7341418911666845,5.533333333333331,-27.522222222222226,0.09866584199940658,-0.36728373680003124,10.857142857142858,10.066666666666666,14.78888888888889,2025-07-13,106.0,0,0.5786353538094107
106.0,56.0,105.7,1.8928571428571428,1.0028382213812677,50.0,0.29999999999999716,0.9852303313085556,0.003938679129270214,15.142857142857142,8.0,15.1,2025-07-20,38.0,0,0.5051575778907604
