date,daily_score,weighted_tries,attempts,sends,mean_grade,max_grade,mean_grade_weight,max_grade_weight,leaky_load_3d,leaky_load_7d
2024-08-01,19.949660448049958,10.5,14.0,7.0,6.357142857142857,9.0,2.3446281516343292,4.0551999668446745,44.6927168635969,75.08828921854715
2024-08-02,0.0,0.0,0.0,0.0,,,,,32.02373098737638,65.09237845360835
2024-08-03,57.288030186211884,12.0,23.0,1.0,8.869565217391305,12.0,4.8940133767370995,11.588346719223386,80.23403612005914,113.71517450981986
2024-08-04,0.0,0.0,0.0,0.0,,,,,57.49019905373073,98.57717164879803
2024-08-05,0.0,0.0,0.0,0.0,,,,,41.1935276731177,85.45437152222318
2024-08-06,0.0,0.0,0.0,0.0,,,,,29.51645237077668,74.07850610965656
2024-08-07,0.0,0.0,0.0,0.0,,,,,21.149462300721442,64.21701979297008
2024-08-08,9.258228346048956,8.5,11.0,6.0,5.0,9.0,1.3380589623213661,4.0551999668446745,24.41248028631584,64.9265435923947
2024-08-09,0.0,0.0,0.0,0.0,,,,,17.492306493910682,56.283385747413725
2024-08-10,0.0,0.0,0.0,0.0,,,,,12.533785297040225,48.790823227547314
2024-08-11,0.0,0.0,0.0,0.0,,,,,8.980849605338724,42.29568636657859
2024-08-12,11.161507010254867,7.0,10.0,4.0,5.9,9.0,2.0333234788835113,4.0551999668446745,17.596566948034322,47.82670277620691
2024-08-13,16.047554005953657,10.0,17.0,3.0,6.352941176470588,7.0,1.7731660563674703,2.0137527074704766,28.656045182828112,57.50746566056808
2024-08-14,11.923798400135867,6.0,10.0,2.0,6.6,8.0,2.335440287238852,2.8576511180631634,32.456752010849414,61.77574945192481
2024-08-15,4.257202645779771,3.0,6.0,0.0,6.0,6.0,1.4190675485932571,1.4190675485932571,27.51348170108217,57.80923458615778
2024-08-16,11.546697902478549,9.0,14.0,4.0,5.285714285714286,8.0,1.4925366990967979,2.8576511180631634,31.260969004202927,61.66024576669256
2024-08-17,1.201273393510123,2.0,2.0,2.0,3.5,4.0,0.6006366967550615,0.7046880897187134,23.600736483898253,54.65317774182059
