date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-06-14,0.6896551724137931,0.4950619660843962,0.3489204165322506,0.3407347558815425,29,5.413793103448276,3042.1040005745986
2024-06-16,0.0625,0.11378214642758422,0.0665553847804838,-0.004055384780483797,16,7.8125,3074.064090478212
2024-06-18,0.14285714285714285,0.13966224759596596,0.08666256375750561,0.056194579099637244,14,8.0,3163.9640927064365
2024-06-19,0.4375,0.404794168011194,0.3335833154373319,0.1039166845626681,16,6.3125,3662.7705475703447
2024-06-26,0.0,0.9920711290742502,0.9881766398835915,-0.9881766398835915,1,0.0,1703.5067997023566
2024-06-30,0.5454545454545454,0.41938554979886394,0.4318254865778451,0.11362905887670038,11,5.090909090909091,962.0011607553625
2024-07-01,1.0,0.974137163727643,0.9701999099173347,0.029800090082665265,5,1.0,1185.9375457928456
2024-07-05,0.21875,0.24324733484705718,0.26974638182164984,-0.050996381821649846,32,6.28125,672.977618966282
2024-07-07,0.5333333333333333,0.4648584549920125,0.43397899122634315,0.09935434210699018,15,5.133333333333334,1725.4246043495382
2024-07-09,1.0,0.9548982392894978,0.939354409573239,0.060645590426760945,16,1.5625,1701.449390265422
2024-07-10,0.45454545454545453,0.4818335312007395,0.4541081102273324,0.000437344318122156,11,4.909090909090909,1521.948873964516
2024-07-12,0.125,0.21270974409986348,0.20913122060687023,-0.08413122060687021,16,7.0625,1382.968320336884
2024-07-14,0.8888888888888888,0.5896993578419681,0.5608223489497448,0.32806653993914414,9,3.888888888888889,1796.053696257545
2024-07-17,0.5,0.35896914590307694,0.3550512907053176,0.1449487092946824,20,5.45,1316.5575993148643
2024-07-18,0.26666666666666666,0.28172385101874553,0.25672304876967017,0.009943617896996496,15,6.133333333333334,1804.2946865942106
2024-07-25,0.875,0.7560744035376448,0.7631714842152848,0.11182851578471524,8,2.75,926.0253396412357
2024-07-28,0.23076923076923078,0.2879924544737749,0.3078798570361565,-0.07711062626692569,26,7.461538461538462,675.3908946409897
2024-07-30,0.4,0.2977843750435606,0.26088521321502234,0.13911478678497768,15,6.2,2066.187385023333
2024-08-01,0.5,0.3463190391836433,0.3151084526358776,0.18489154736412242,14,6.357142857142857,2094.4915904275013
2024-08-03,0.043478260869565216,0.061935048618331344,0.04682513999213011,-0.003346879122564892,23,8.869565217391305,2160.8392088742817
2024-08-08,0.5454545454545454,0.4996142221296212,0.44699665157772395,0.09845789387682152,11,5.0,2125.138062942714
2024-08-12,0.4,0.3478689563411922,0.3429616796794994,0.05703832032050057,10,5.9,1415.7303039549959
2024-08-13,0.17647058823529413,0.22042665144952012,0.2050898929071195,-0.028619304671825368,17,6.352941176470588,1664.265312505193
2024-08-14,0.2,0.24129449994040844,0.22798331328279858,-0.027983313282798582,10,6.6,2170.7148187315815
2024-08-15,0.0,0.31694701163322175,0.22601051750673395,-0.22601051750673395,6,6.0,2395.7447030186295
2024-08-16,0.2857142857142857,0.4793068706927163,0.41717759063870336,-0.13146330492441763,14,5.285714285714286,2292.818136490412
2024-08-17,1.0,0.8364447759426119,0.7448519126371966,0.25514808736280337,2,3.5,2457.5933706699334
2024-08-18,0.18518518518518517,0.2725741043796756,0.23888194594645706,-0.053696760761271854,27,6.592592592592593,2155.4333796063215
2024-08-27,0.6666666666666666,0.6054253684904648,0.6158131315280588,0.050853535138607874,12,3.9166666666666665,1006.6277704324997
2024-08-28,0.1,0.21954424745449602,0.22705595764010394,-0.12705595764010394,20,6.55,1089.6233674627333
2024-08-30,0.5909090909090909,0.5349783020193414,0.5040641311636617,0.08684495974542927,22,4.681818181818182,1627.6242991193917
2024-09-01,0.08333333333333333,0.4898348824963627,0.452842132482558,-0.3695087991492247,12,5.333333333333333,1704.2399368071503
2024-09-03,0.35,0.33912072750044314,0.3259907841656047,0.024009215834395338,20,6.15,1613.5787279667036
