date,actual_send_rate,predicted_send_probability,grade_only_expected_send_probability,performance_residual,attempts,mean_grade,readiness
2024-07-25,0.875,0.7638264140666129,0.7628922455437782,0.11210775445622173,8,2.75,1567.4312580320413
2024-07-28,0.23076923076923078,0.2941415003271309,0.3071643175970321,-0.07639508682780136,26,7.461538461538462,1239.7797879116895
2024-07-30,0.4,0.2900006810181746,0.259430424321159,0.14056957567884104,15,6.2,2641.943517036453
2024-08-01,0.5,0.3425435024193367,0.3142596228961918,0.1857403771038082,14,6.357142857142857,2728.563791565222
2024-08-03,0.043478260869565216,0.05907919035350457,0.045867093499469956,-0.0023888326299047456,23,8.869565217391305,2846.534019899852
2024-08-08,0.5454545454545454,0.5040465454881421,0.4456888705135553,0.09976567494099008,11,5.0,2993.415043991669
2024-08-12,0.4,0.3530379873360593,0.34222985957580343,0.05777014042419659,10,5.9,2251.7569411379186
2024-08-13,0.17647058823529413,0.22508988642916505,0.20335205162306086,-0.02688146338776673,17,6.352941176470588,2474.473936663784
2024-08-14,0.2,0.24043939523940033,0.22720677720751428,-0.027206777207514278,10,6.6,2966.9966078481348
2024-08-15,0.0,0.31240742019905643,0.22334270735276332,-0.22334270735276332,6,6.0,3198.6495499667567
2024-08-16,0.2857142857142857,0.4796167428309247,0.4159627135858215,-0.13024842787153573,14,5.285714285714286,3110.257799993804
2024-08-17,1.0,0.8371986866360094,0.7444676683703868,0.25553233162961314,2,3.5,3284.277637172597
2024-08-18,0.18518518518518517,0.27384331153996716,0.23778703979766455,-0.05260185461247939,27,6.592592592592593,2996.7372973324946
2024-08-27,0.6666666666666666,0.6236453087034651,0.614716843973499,0.051949822693167585,12,3.9166666666666665,1797.1181690914154
2024-08-28,0.1,0.22731061531942176,0.2256811037040448,-0.12568110370404478,20,6.55,1843.0997640261874
2024-08-30,0.5909090909090909,0.5403036998202644,0.5027592194096553,0.08814987149943561,22,4.681818181818182,2353.2157688265615
2024-09-01,0.08333333333333333,0.49433041668826544,0.45185399863477316,-0.36852066530143984,12,5.333333333333333,2428.83488557631
2024-09-03,0.35,0.34130506943256217,0.3251084532575522,0.02489154674244782,20,6.15,2336.019383495775
2024-09-04,1.0,0.930362658083772,0.88680401308779,0.1131959869122101,12,2.3333333333333335,3038.717747444271
2024-09-06,0.0,0.006871936527674588,0.006434427060814574,-0.006434427060814574,14,10.0,2553.0399638550657
2024-09-08,0.42857142857142855,0.4259276194667467,0.406842336840785,0.021729091730643572,7,6.0,3357.0247174955844
2024-09-09,0.8235294117647058,0.8032101451005769,0.7282129939168316,0.09531641784787431,17,3.2941176470588234,3373.561577661601
2024-09-12,0.0,0.007167106124509158,0.006434427060814573,-0.006434427060814573,20,10.0,2679.3166510006317
2024-09-13,0.8888888888888888,0.8498423831193557,0.7604677800105675,0.12842110887832137,18,3.0,4424.345960592165
2024-09-15,0.0,0.11605732783870504,0.07524415352923677,-0.07524415352923677,10,8.2,3814.173632816774
2024-09-17,0.8181818181818182,0.6171460288376232,0.5222341552486875,0.29594766293313063,11,4.454545454545454,3750.7384188832143
2024-09-20,0.6153846153846154,0.41064288820709616,0.36495988591335055,0.2504247294712648,13,5.6923076923076925,3008.678703334535
2024-09-22,0.2727272727272727,0.3761355709446986,0.322415530849453,-0.04968825812218028,22,5.909090909090909,2917.5261644048214
2024-09-23,0.9523809523809523,0.9129201417631915,0.854482444035388,0.09789850834556445,21,2.380952380952381,3501.886841652415
2024-09-25,0.25,0.0552439618939239,0.04136939225873243,0.20863060774126757,4,8.0,3001.018388929279
2024-09-30,0.7,0.5722799989488918,0.5550927506400825,0.14490724935991756,10,4.3,1991.8115950321426
2024-10-01,0.16666666666666666,0.1655968983399322,0.15971153743099897,0.006955129235667691,12,7.75,2023.2656608629702
2024-10-04,0.3125,0.37093861894241803,0.3557074483848094,-0.04320744838480937,16,5.75,2136.663323494673
2024-10-05,0.6,0.5769570624143132,0.5437394420162291,0.0562605579837708,15,4.866666666666666,2535.332924843052
2024-10-07,1.0,0.9238859711044164,0.8953953119877168,0.10460468801228315,15,2.1333333333333333,2525.459231624026
2024-10-10,0.0,0.03930747398122331,0.04136939225873243,-0.04136939225873243,9,8.0,1936.4046746221672
2024-10-13,0.2916666666666667,0.2857072780396796,0.2834990049654674,0.008167661701199232,24,6.583333333333333,1906.1127793462722
2024-10-14,0.23076923076923078,0.17283063002182208,0.143657115563526,0.08711211520570476,13,7.615384615384615,2990.722165749027
2024-10-18,0.8823529411764706,0.7912226877612848,0.7585925214663432,0.12376041971012736,17,3.0,2602.5813239148406
2024-10-19,0.23076923076923078,0.5593631766981497,0.5104171928161753,-0.2796479620469445,13,4.769230769230769,2571.912965359714
2024-10-22,0.2857142857142857,0.4753775534110364,0.44784839449167413,-0.16213410877738843,7,4.857142857142857,2190.238288817161
2024-10-24,0.46153846153846156,0.338264009136596,0.3293683564915263,0.1321701050469353,13,5.846153846153846,1956.086178869977
2024-10-26,0.14285714285714285,0.5439642165407358,0.5164980026204204,-0.37364085976327754,14,5.714285714285714,2050.307269657484
2024-10-27,0.0625,0.3012808822973255,0.2942284587246471,-0.2317284587246471,16,7.5,2463.194736057236
2024-10-30,1.0,0.92432035329661,0.8893320362976428,0.1106679637023573,30,2.2333333333333334,2741.757985005834
2024-11-02,0.0,0.007944522722727925,0.008310958208642737,-0.008310958208642737,16,9.8125,2171.147230768249
2024-11-04,0.5625,0.426120171955036,0.36900497679790234,0.19349502320209766,16,5.5,3173.7491433195482
2024-11-06,0.8181818181818182,0.8946294776883975,0.8348080992523457,-0.016626281070527497,11,2.8181818181818183,3106.964655126823
2024-11-08,0.4,0.4655090119785371,0.41758485648149035,-0.017584856481490357,25,5.0,2627.9173917559992
2024-11-11,0.0,0.006787277654724827,0.006434427060814574,-0.006434427060814574,3,10.0,2515.8269596484174
2024-11-24,0.45454545454545453,0.20696202711156708,0.2525779113216695,0.20196754322378502,11,6.181818181818182,776.0010958499516
2024-12-02,0.5882352941176471,0.4012752612139632,0.4347462979046906,0.15348899621295647,17,5.294117647058823,567.1773022203076
2024-12-03,0.4,0.3501247527839248,0.39117929224908143,0.008820707750918522,5,5.2,1125.2032457096243
2024-12-05,0.9230769230769231,0.9271732701537476,0.9333362471711008,-0.010259324094177671,26,1.5384615384615385,1046.1060644145923
2024-12-07,0.25,0.38911479683445926,0.43617638029601946,-0.18617638029601946,12,5.083333333333333,934.2952238686953
2024-12-08,0.0,0.09632559113267791,0.11560343621548541,-0.11560343621548541,14,7.928571428571429,1174.385278048679
2024-12-10,1.0,0.9206026986794172,0.9099235601019001,0.09007643989809984,3,2.0,1805.71865412804
2024-12-12,0.16666666666666666,0.24662608067931446,0.2551205867020656,-0.0884539200353989,18,6.666666666666667,1491.0651173937135
