id,time,grade,send/reps,type,weight,outside,effort,date,send,attempts,attempt_load,readiness,predicted_send_probability,grade_only_expected_send_probability,performance_residual
802,2024-07-28 13:48:34.243279,5,0,0,250.0,1,5,2024-07-28,0,1,25,1239.7797879116895,0.38843451261371914,0.4260573723585436,-0.4260573723585436
803,2024-07-28 14:07:46.883666,5,0,0,250.0,1,5,2024-07-28,0,1,25,1239.7797879116895,0.38843451261371914,0.4260573723585436,-0.4260573723585436
804,2024-07-28 14:15:55.652870,5,0,0,250.0,1,5,2024-07-28,0,1,25,1239.7797879116895,0.38843451261371914,0.4260573723585436,-0.4260573723585436
805,2024-07-28 14:19:55.078830,5,0,0,250.0,1,5,2024-07-28,0,1,25,1239.7797879116895,0.38843451261371914,0.4260573723585436,-0.4260573723585436
806,2024-07-28 14:38:51.121218,2,1,0,250.0,1,5,2024-07-28,1,1,4,1239.7797879116895,0.9256761952337688,0.9273753283850786,0.07262467161492137
807,2024-07-28 14:55:20.891280,3,1,0,250.0,1,5,2024-07-28,1,1,9,1239.7797879116895,0.8220204064431309,0.8318390349179802,0.16816096508201983
808,2024-07-28 15:06:44.098542,4,1,0,250.0,1,5,2024-07-28,1,1,16,1239.7797879116895,0.6313701869687897,0.6570963018227935,0.34290369817720645
809,2024-07-28 15:18:23.523264,5,0,0,250.0,1,5,2024-07-28,0,1,25,1239.7797879116895,0.38843451261371914,0.4260573723585436,-0.4260573723585436
810,2024-07-28 16:47:13.445218,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
811,2024-07-28 16:58:12.712336,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
812,2024-07-28 17:06:42.868290,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
813,2024-07-28 17:17:48.938276,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
814,2024-07-28 17:26:33.776794,11,0,0,250.0,1,5,2024-07-28,0,1,121,1239.7797879116895,0.0016490940221799706,0.0025024645135895357,-0.0025024645135895357
