date,daily_score,attempts,sends,mean_grade,max_grade,ma_7,ma_30,ma_90,acute_7,chronic_30_daily,chronic_90_daily,chronic_30_expected_7,chronic_90_expected_7,acwr_7_30,acwr_7_90,ramp_7_30,ramp_7_90,chronic_30_sd,chronic_90_sd,chronic_30_sd_7day,chronic_90_sd_7day,z_overshoot_7_30,z_overshoot_7_90,risk_flag_7_30,risk_flag_7_90
2024-10-13,158.0,24.0,7.0,6.583333333333333,10.0,14.857142857142858,29.2,35.51111111111111,104.0,29.2,35.51111111111111,204.4,248.57777777777778,0.5088062622309197,0.41838011800464864,-100.4,-144.57777777777778,38.444227403989444,52.69335596445248,101.71386505697033,139.41351562734332,-0.9870827339396214,-1.037042765381792,under baseline,under baseline
2024-10-14,99.0,13.0,3.0,7.615384615384615,10.0,37.42857142857143,32.666666666666664,37.266666666666666,262.0,32.666666666666664,37.266666666666666,228.66666666666666,260.8666666666667,1.1457725947521866,1.0043444927165857,33.33333333333334,1.1333333333333258,44.90398441220948,54.10991726169438,118.80477563062718,143.16138453672443,0.2805723352146141,0.007916473684582157,normal,normal
2024-10-15,0.0,0.0,0.0,,,47.0,35.96666666666667,38.36666666666667,329.0,35.96666666666667,38.36666666666667,251.76666666666668,268.56666666666666,1.3067655236329934,1.2250217202432667,77.23333333333332,60.43333333333334,46.04381970833145,54.34956559990955,121.82049635973956,143.79543444175167,0.6339929292790023,0.4202729632408012,moderate overshoot,normal
2024-10-16,0.0,0.0,0.0,,,47.0,33.233333333333334,37.15555555555556,329.0,33.233333333333334,37.15555555555556,232.63333333333333,260.0888888888889,1.4142427281845538,1.2649521531100478,96.36666666666667,68.9111111111111,45.64909889455711,53.971051564623565,120.77616324919164,142.79398043663744,0.7978947507037293,0.4825911491534428,moderate overshoot,normal
2024-10-17,0.0,0.0,0.0,,,47.0,33.233333333333334,36.13333333333333,329.0,33.233333333333334,36.13333333333333,232.63333333333333,252.93333333333334,1.4142427281845538,1.3007380073800738,96.36666666666667,76.06666666666666,45.64909889455711,53.79156610724081,120.77616324919164,142.31910655244997,0.7978947507037293,0.5344796528682059,moderate overshoot,moderate overshoot
2024-10-18,51.0,17.0,15.0,3.0,8.0,36.714285714285715,31.6,36.13333333333333,257.0,31.6,36.13333333333333,221.20000000000002,252.93333333333334,1.1618444846292946,1.0160780179230364,35.79999999999998,4.066666666666663,45.94119179394755,53.79156610724081,121.54896842070656,142.31910655244997,0.2945315000624987,0.028574284684452698,normal,normal
2024-10-19,62.0,13.0,3.0,4.769230769230769,10.0,44.0,33.3,36.7,308.0,33.3,36.7,233.09999999999997,256.90000000000003,1.3213213213213215,1.1989100817438691,74.90000000000003,51.099999999999966,45.674372199977384,53.67514646756543,120.84303013014225,142.01108913814517,0.6198123294271607,0.3598310548149592,moderate overshoot,normal
2024-10-20,0.0,0.0,0.0,,,52.857142857142854,35.36666666666667,37.388888888888886,370.0,35.36666666666667,37.388888888888886,247.56666666666666,261.7222222222222,1.4945469233876396,1.4137125875610277,122.43333333333334,108.27777777777783,45.518077752678096,53.596640521174926,120.42951389128805,141.80338192755613,1.0166389398852356,0.7635768365037604,moderate overshoot,moderate overshoot
2024-10-21,0.0,0.0,0.0,,,30.285714285714285,32.9,37.388888888888886,212.0,32.9,37.388888888888886,230.29999999999998,261.7222222222222,0.9205384281372124,0.8100191042241563,-18.299999999999983,-49.72222222222217,45.35708894143646,53.596640521174926,120.00357753287877,141.80338192755613,-0.1524954536875046,-0.350642005475046,normal,normal
2024-10-22,34.0,7.0,2.0,4.857142857142857,6.0,16.142857142857142,32.9,37.388888888888886,113.0,32.9,37.388888888888886,230.29999999999998,261.7222222222222,0.4906643508467217,0.43175546593080033,-117.29999999999998,-148.72222222222217,45.35708894143646,53.596640521174926,120.00357753287877,141.80338192755613,-0.9774708588822025,-1.0487917862086018,under baseline,under baseline
2024-10-23,0.0,0.0,0.0,,,21.0,29.7,37.766666666666666,147.0,29.7,37.766666666666666,207.9,264.3666666666667,0.7070707070707071,0.556045895851721,-60.900000000000006,-117.36666666666667,41.492126382292525,53.44976639883362,109.77784777480814,141.41478952581016,-0.5547567312936095,-0.8299461962940279,under baseline,under baseline
2024-10-24,76.0,13.0,6.0,5.846153846153846,9.0,21.0,28.033333333333335,37.522222222222226,147.0,28.033333333333335,37.522222222222226,196.23333333333335,262.65555555555557,0.7491082045184304,0.5596683446846313,-49.23333333333335,-115.65555555555557,41.65248954213264,53.57284818284322,110.20212881520159,141.74043331722172,-0.44675483008039646,-0.8159672779940853,under baseline,under baseline
